Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","0402",155.669873,-137.500000,60.000000,top
"C2","100n","0402",104.330126,-137.500000,-60.000000,top
"C3","100n","0402",130.000000,-93.000000,180.000000,top
"J1","GND","M2_PTH",122.000000,-137.000000,0.000000,top
"J2","DIN","M2_PTH",130.000000,-137.000000,0.000000,top
"J3","5V","M2_PTH",138.000000,-137.000000,0.000000,top
"J4","GND","M2_PTH",113.598076,-122.447441,0.000000,top
"J5","DOUT","M2_PTH",117.598076,-115.519238,0.000000,top
"J6","5V","M2_PTH",121.598076,-108.591035,0.000000,top
"J7","GND","M2_PTH",138.401924,-108.591035,0.000000,top
"J8","DOUT","M2_PTH",142.401924,-115.519238,0.000000,top
"J9","5V","M2_PTH",146.401924,-122.447441,0.000000,top
"LED1","WS2812B-4020","WS2812B-4020",153.331603,-136.150000,60.000000,top
"LED2","WS2812B-4020","WS2812B-4020",106.668395,-136.150000,-60.000000,top
"LED3","WS2812B-4020","WS2812B-4020",130.000000,-95.700000,180.000000,top
"X1","TOOLING","M2.5_HOLE",154.900000,-133.500000,0.000000,top
"X2","TOOLING","M2.5_HOLE",133.000000,-95.400000,0.000000,top
"X3","TOOLING","M2.5_HOLE",104.900000,-133.600000,0.000000,top
